PERIOD	SM0	SM1	SM2	SM3	SM4	SM5	L2	MC1	MC2	MC3
2.7639579878e-07	8.908183e+00	8.463768e+00	8.182128e+00	8.773326e+00	8.590421e+00	8.375142e+00	1.369547e-01	2.897041e-01	2.897041e-01	2.897041e-01
2.7639579878e-07	8.134467e+00	8.585897e+00	8.451546e+00	8.401109e+00	7.960656e+00	8.563371e+00	1.265153e-01	2.857786e-01	2.857786e-01	2.857786e-01
2.7639579878e-07	8.314951e+00	8.246318e+00	8.740297e+00	7.996540e+00	7.962494e+00	8.842221e+00	1.297465e-01	2.104084e-01	2.104084e-01	2.104084e-01
2.7639579878e-07	8.399481e+00	8.091201e+00	8.122338e+00	8.565304e+00	8.450424e+00	8.199702e+00	1.523652e-01	2.575148e-01	2.575148e-01	2.575148e-01
2.7639579878e-07	8.535760e+00	7.862471e+00	7.965097e+00	8.265830e+00	8.548212e+00	8.516432e+00	1.560935e-01	3.627190e-01	3.627190e-01	3.627190e-01
2.7639579878e-07	8.719286e+00	8.804139e+00	8.894540e+00	8.358828e+00	8.755832e+00	8.582055e+00	1.188101e-01	2.339616e-01	2.339616e-01	2.339616e-01
2.7639579878e-07	8.316471e+00	8.106777e+00	8.516706e+00	8.255395e+00	8.320347e+00	8.635950e+00	1.344691e-01	2.755722e-01	2.755722e-01	2.755722e-01
2.7639579878e-07	7.792878e+00	8.348986e+00	8.891239e+00	8.093659e+00	8.094754e+00	8.348201e+00	1.439143e-01	2.473084e-01	2.473084e-01	2.473084e-01
2.7639579878e-07	8.435607e+00	8.318185e+00	8.105920e+00	8.973047e+00	8.630215e+00	8.392688e+00	1.419258e-01	2.755722e-01	2.755722e-01	2.755722e-01
2.7639579878e-07	8.942110e+00	8.382684e+00	8.481353e+00	8.237412e+00	8.410317e+00	8.446968e+00	1.379489e-01	3.179679e-01	3.179679e-01	3.179679e-01
2.7639579878e-07	8.442027e+00	8.766976e+00	8.728083e+00	8.149552e+00	8.198323e+00	8.612211e+00	1.456542e-01	1.860701e-01	1.860701e-01	1.860701e-01
2.7639579878e-07	8.331246e+00	7.807530e+00	8.007673e+00	8.276706e+00	8.213145e+00	8.542245e+00	1.277581e-01	2.787126e-01	2.787126e-01	2.787126e-01
2.7639579878e-07	8.556623e+00	7.857256e+00	8.382679e+00	8.518704e+00	8.740632e+00	8.176603e+00	1.546022e-01	3.407360e-01	3.407360e-01	3.407360e-01
2.7639579878e-07	8.098825e+00	8.888874e+00	8.865837e+00	8.390230e+00	8.330346e+00	8.203001e+00	1.237812e-01	2.779275e-01	2.779275e-01	2.779275e-01
2.7639579878e-07	8.386561e+00	8.299129e+00	8.593495e+00	8.194338e+00	9.098727e+00	8.587526e+00	1.449085e-01	2.425978e-01	2.425978e-01	2.425978e-01
2.7639579878e-07	8.305944e+00	8.271229e+00	8.656443e+00	8.403090e+00	8.260175e+00	8.633241e+00	1.521166e-01	2.575148e-01	2.575148e-01	2.575148e-01
2.7639579878e-07	8.013667e+00	8.527911e+00	8.657329e+00	8.365068e+00	8.507207e+00	8.395836e+00	1.473941e-01	3.313147e-01	3.313147e-01	3.313147e-01
2.7639579878e-07	9.177831e+00	8.582989e+00	8.156061e+00	8.768822e+00	8.848059e+00	8.587499e+00	1.205500e-01	2.590850e-01	2.590850e-01	2.590850e-01
2.7639579878e-07	7.911810e+00	8.434464e+00	8.391655e+00	8.622647e+00	8.100117e+00	8.687695e+00	1.488854e-01	2.661509e-01	2.661509e-01	2.661509e-01
2.7639579878e-07	8.308403e+00	8.107072e+00	8.659384e+00	8.381645e+00	8.245539e+00	8.176991e+00	1.476426e-01	2.488786e-01	2.488786e-01	2.488786e-01
2.7639579878e-07	8.321811e+00	8.490094e+00	8.496852e+00	8.405790e+00	8.829049e+00	8.349412e+00	1.317350e-01	2.999105e-01	2.999105e-01	2.999105e-01
2.7639579878e-07	8.126240e+00	8.579419e+00	8.394396e+00	8.455603e+00	8.904339e+00	8.610647e+00	1.347177e-01	3.022658e-01	3.022658e-01	3.022658e-01
2.7639579878e-07	8.625376e+00	8.983987e+00	7.983057e+00	8.238452e+00	8.857749e+00	8.199297e+00	1.409316e-01	2.300361e-01	2.300361e-01	2.300361e-01
2.7639579878e-07	8.070153e+00	7.768995e+00	8.308012e+00	8.703058e+00	8.090471e+00	8.231416e+00	1.446599e-01	2.842084e-01	2.842084e-01	2.842084e-01
2.7639579878e-07	8.576190e+00	8.348576e+00	8.219774e+00	8.537650e+00	8.668801e+00	8.862072e+00	1.372032e-01	3.171828e-01	3.171828e-01	3.171828e-01
2.7639579878e-07	8.045865e+00	8.458218e+00	8.708846e+00	8.676648e+00	8.398373e+00	8.434163e+00	1.240297e-01	2.692914e-01	2.692914e-01	2.692914e-01
2.7639579878e-07	8.101025e+00	8.586425e+00	8.467502e+00	8.523432e+00	8.748165e+00	8.594947e+00	1.630531e-01	2.653658e-01	2.653658e-01	2.653658e-01
2.7639579878e-07	8.393754e+00	8.528649e+00	8.822500e+00	8.201874e+00	8.404528e+00	8.305548e+00	1.424229e-01	2.441680e-01	2.441680e-01	2.441680e-01
2.7639579878e-07	8.695048e+00	8.242183e+00	8.418918e+00	8.244224e+00	8.500353e+00	8.341452e+00	1.290009e-01	3.446615e-01	3.446615e-01	3.446615e-01
2.7639579878e-07	8.354108e+00	8.166854e+00	8.685575e+00	8.521348e+00	8.654715e+00	8.475369e+00	1.459027e-01	2.535892e-01	2.535892e-01	2.535892e-01
2.7639579878e-07	8.562127e+00	8.523964e+00	8.350104e+00	8.539945e+00	8.213462e+00	8.422706e+00	1.381975e-01	3.195381e-01	3.195381e-01	3.195381e-01
2.7639579878e-07	8.513320e+00	8.644977e+00	8.711536e+00	8.522334e+00	8.401802e+00	8.307775e+00	1.367061e-01	2.512339e-01	2.512339e-01	2.512339e-01
2.7639579878e-07	8.571666e+00	8.043209e+00	8.732651e+00	8.693499e+00	8.394727e+00	7.867068e+00	1.483883e-01	2.983403e-01	2.983403e-01	2.983403e-01
2.7639579878e-07	8.442345e+00	8.541881e+00	8.353003e+00	8.087456e+00	8.479985e+00	8.216717e+00	1.342206e-01	2.433829e-01	2.433829e-01	2.433829e-01
2.7639579878e-07	8.538592e+00	8.934482e+00	8.625703e+00	8.236995e+00	8.117680e+00	8.544013e+00	1.439143e-01	2.857786e-01	2.857786e-01	2.857786e-01
2.7639579878e-07	8.505266e+00	8.442817e+00	8.550990e+00	8.212540e+00	8.556523e+00	8.203416e+00	1.399374e-01	2.865637e-01	2.865637e-01	2.865637e-01
2.7639579878e-07	8.203291e+00	8.094876e+00	8.456880e+00	8.370653e+00	8.591127e+00	8.189932e+00	1.255211e-01	2.496637e-01	2.496637e-01	2.496637e-01
2.7639579878e-07	8.351182e+00	8.093942e+00	7.865911e+00	8.604390e+00	8.655112e+00	8.203169e+00	1.416773e-01	3.116871e-01	3.116871e-01	3.116871e-01
2.7639579878e-07	8.199805e+00	8.153154e+00	8.472661e+00	8.660188e+00	8.733800e+00	8.855508e+00	1.391917e-01	2.975552e-01	2.975552e-01	2.975552e-01
2.7639579878e-07	8.706517e+00	8.679498e+00	8.486388e+00	8.553083e+00	8.211058e+00	8.972622e+00	1.322321e-01	2.457382e-01	2.457382e-01	2.457382e-01
2.7639579878e-07	8.711144e+00	8.437868e+00	8.592220e+00	8.397782e+00	8.464988e+00	8.328845e+00	1.441628e-01	2.504488e-01	2.504488e-01	2.504488e-01
2.7639579878e-07	7.959361e+00	8.441952e+00	8.694650e+00	8.426959e+00	8.335025e+00	8.203917e+00	1.546022e-01	3.116871e-01	3.116871e-01	3.116871e-01
2.7639579878e-07	7.922050e+00	8.185356e+00	7.679756e+00	8.582611e+00	8.298655e+00	8.335749e+00	1.419258e-01	2.975552e-01	2.975552e-01	2.975552e-01
2.7639579878e-07	7.825085e+00	8.622689e+00	8.474213e+00	8.202259e+00	8.449244e+00	8.761361e+00	1.143360e-01	3.038360e-01	3.038360e-01	3.038360e-01
2.7639579878e-07	8.280296e+00	8.393660e+00	8.368831e+00	8.457574e+00	8.456459e+00	8.392675e+00	1.359605e-01	2.716467e-01	2.716467e-01	2.716467e-01
2.7639579878e-07	8.750685e+00	8.565524e+00	8.337458e+00	8.681808e+00	8.426018e+00	7.994673e+00	1.555964e-01	2.528041e-01	2.528041e-01	2.528041e-01
2.7639579878e-07	8.701050e+00	8.445992e+00	8.722324e+00	8.421727e+00	8.905884e+00	8.342981e+00	1.416773e-01	2.912743e-01	2.912743e-01	2.912743e-01
2.7639579878e-07	8.971182e+00	8.427338e+00	8.168324e+00	8.184779e+00	8.256429e+00	8.862838e+00	1.337235e-01	2.920594e-01	2.920594e-01	2.920594e-01
2.7639579878e-07	8.248004e+00	8.757505e+00	8.438417e+00	8.353860e+00	8.287078e+00	8.972640e+00	1.419258e-01	2.528041e-01	2.528041e-01	2.528041e-01
2.7639579878e-07	8.243026e+00	8.202479e+00	8.061001e+00	8.608890e+00	8.151127e+00	7.995921e+00	1.496311e-01	3.258190e-01	3.258190e-01	3.258190e-01
2.7639579878e-07	8.126365e+00	7.745956e+00	8.465820e+00	8.527490e+00	8.757695e+00	8.429173e+00	1.334749e-01	3.124722e-01	3.124722e-01	3.124722e-01
2.7639579878e-07	8.642472e+00	8.691436e+00	8.336745e+00	8.646213e+00	8.907914e+00	8.523812e+00	1.277581e-01	2.512339e-01	2.512339e-01	2.512339e-01
2.7639579878e-07	8.815513e+00	8.426481e+00	8.594620e+00	7.597856e+00	8.004667e+00	8.537090e+00	1.538565e-01	1.970616e-01	1.970616e-01	1.970616e-01
2.7639579878e-07	8.063448e+00	8.577773e+00	8.591947e+00	8.716774e+00	8.634698e+00	8.277498e+00	1.459027e-01	2.991254e-01	2.991254e-01	2.991254e-01
2.7639579878e-07	8.433813e+00	8.344753e+00	7.862912e+00	8.111802e+00	8.371141e+00	8.688741e+00	1.277581e-01	2.716467e-01	2.716467e-01	2.716467e-01
2.7639579878e-07	8.289316e+00	8.377913e+00	8.225326e+00	8.306654e+00	8.441293e+00	8.549721e+00	1.354633e-01	3.305296e-01	3.305296e-01	3.305296e-01
2.7639579878e-07	8.868397e+00	8.411715e+00	8.376137e+00	8.857564e+00	8.257572e+00	8.446949e+00	1.384460e-01	2.834233e-01	2.834233e-01	2.834233e-01
2.7639579878e-07	8.119438e+00	8.378775e+00	8.210481e+00	8.378664e+00	8.217589e+00	8.212485e+00	1.463998e-01	3.242488e-01	3.242488e-01	3.242488e-01
2.7639579878e-07	8.152101e+00	8.761503e+00	8.818564e+00	8.068452e+00	8.111096e+00	8.672211e+00	1.319836e-01	2.347467e-01	2.347467e-01	2.347467e-01
2.7639579878e-07	8.615029e+00	8.361746e+00	8.156684e+00	8.579605e+00	8.721980e+00	8.368520e+00	1.265153e-01	2.779275e-01	2.779275e-01	2.779275e-01
2.7639579878e-07	8.397163e+00	8.409124e+00	8.037935e+00	8.556272e+00	8.421723e+00	8.660559e+00	1.503767e-01	2.637956e-01	2.637956e-01	2.637956e-01
2.7639579878e-07	8.491250e+00	8.530208e+00	8.048864e+00	8.593231e+00	8.151886e+00	7.912860e+00	1.468970e-01	2.873488e-01	2.873488e-01	2.873488e-01
2.7639579878e-07	8.390329e+00	8.522037e+00	8.292003e+00	8.860720e+00	8.855814e+00	8.453774e+00	1.401859e-01	3.470169e-01	3.470169e-01	3.470169e-01
2.7639579878e-07	8.648144e+00	8.283174e+00	8.320713e+00	7.980569e+00	8.130572e+00	8.644976e+00	1.252725e-01	2.991254e-01	2.991254e-01	2.991254e-01
2.7639579878e-07	8.577927e+00	7.912232e+00	8.626639e+00	8.848235e+00	8.468053e+00	8.043483e+00	1.399374e-01	3.415211e-01	3.415211e-01	3.415211e-01
2.7639579878e-07	8.460697e+00	8.734271e+00	8.670847e+00	8.318445e+00	8.840638e+00	8.297801e+00	1.424229e-01	1.970616e-01	1.970616e-01	1.970616e-01
2.7639579878e-07	8.726058e+00	8.407535e+00	8.664168e+00	8.280400e+00	8.692966e+00	8.537514e+00	1.374518e-01	3.211084e-01	3.211084e-01	3.211084e-01
2.7639579878e-07	8.280916e+00	8.014882e+00	8.026729e+00	8.478063e+00	8.448261e+00	8.496980e+00	1.575849e-01	2.253254e-01	2.253254e-01	2.253254e-01
2.7639579878e-07	8.328510e+00	8.306862e+00	8.655711e+00	8.523493e+00	8.265216e+00	8.848686e+00	1.285038e-01	3.116871e-01	3.116871e-01	3.116871e-01
2.7639579878e-07	8.422487e+00	8.419271e+00	8.558818e+00	8.899899e+00	7.774568e+00	8.176703e+00	1.372032e-01	2.802828e-01	2.802828e-01	2.802828e-01
2.7639579878e-07	8.520839e+00	8.366783e+00	8.398342e+00	8.404406e+00	8.479924e+00	7.826503e+00	1.404345e-01	2.944148e-01	2.944148e-01	2.944148e-01
2.7639579878e-07	8.394725e+00	8.603343e+00	8.316629e+00	8.658298e+00	8.654698e+00	8.585624e+00	1.414287e-01	2.378871e-01	2.378871e-01	2.378871e-01
